CODE,DISPOSITION_TEXT
RX,Unsafe Building – Precept Previously Issued/Underway
RY,Façade Report – Previously Issued/Underway
R1,Inspection: No Immediate Action/No Follow-Up Required
R2,Inspection: No Immediate Action/Weekly Inspection
R3,Inspection: No Immediate Action/Monthly Inspection
R4,Inspection: Engineering Assessment Required
R5,Inspection: Class 1 OATH Written/Order to Correct
R6,Engineering: No Immediate Action/No Follow-up Required
R7,Engineering: No Immediate Action/Weekly Assessment
R8,Engineering: No Immediate Action/Monthly Assessment
R9,Building at Risk Program – No Immediate Danger
S0,All Work Completed
S1,Stalled: Excavation – No Immediate Threat
S2,Stalled: Excavation Deteriorating – No Immediate Threat
S3,Stalled: Excavation – Unsafe
S4,Stalled: Superstructure – No Immediate Threat
S5,Stalled: Superstructure Deteriorating – No Immediate Threat
S6,Stalled: Superstructure – Unsafe
S7,Stalled: No Immediate Threat – Graded and Fenced
S8,Stalled: Construction In-Progress
S9,Stalled: Emergency Declaration Filed
UA,CSC: Released from Site Safety Requirements – Complaint Closed
UB,CSC: Demo Signed Off – Complaint Closed
U1,CSC: Unable to Gain Access
U2,CSC: Construction Safety in Compliance
U3,CSC: Violation Issued (No OATH Requirements) – On Action Complaint
U4,CSC: Full Stop Work Order Issued – On Action Complaint
U5,CSC: Partial SWO Issued – On Action Complaint
U6,CSC: Violation Issued (No OATH Requirements) – On Closed Site
V1,PASS Inspection
V2,FAIL Inspection
V3,Stop Work Order Violation Served (Non-Compliant After-Hours Work)
WA,Weather Related: No Action Necessary
WB,Weather Related: No Access
WC,Weather Related: NOD Issued/Unsafe/Red Tag Remains/Engineering Evaluation Required
WD,Weather Related: NOD Issued/Restricted/Yellow Tag Remains/Engineering Evaluation Required
WE,Weather Related: NOD Issued/ Downgraded to Yellow/Restricted/Engineering Evaluation Required
WF,Weather Related: No Further Action Necessary/Downgraded to Green
WG,Weather Related: Green Tag Rescinded/No Occupancy Restrictions
WH,Weather Related: Green Tag Rescinded/Structurally Sound/Utilities Unresolved
WI,Weather Related: No Action Warranted by DOB/Refer to other Agency/Call 311
WJ,Weather Related: Enforcement Order to be Issued/See Referenced Complaint
W1,Violation Served for Disobeying a Vacate Order
XX,Administrative Closure
X1,Compliance Inspection Completed – No Enforcement Action Required
X2,Work Does Not Conform to Regulations Governing TPP – OATH Summons Issued
X3,All Work Substantially Conforms to Plans
X7,POPS Unauthorized Partial Closure – OATH Summons Issued
X8,POPS Unauthorized Full Closure – OATH Summons Issued
Y1,Full Vacate Order Served
Y2,Vacate Order Fully Rescinded
Y3,Partial Vacate Order Served
Y4,Vacate Order Partially Rescinded
